experiment,variant,dataset,mse_mean,mse_sd,ci_mean,ci_sd,rm2_mean,rm2_sd
1,compound_1dcnn,davis,0.257,0.012,0.874,0.006,0.677,0.027
2,protein_1dcnn,davis,0.224,0.009,0.887,0.003,0.719,0.018
3,both_1dcnn,davis,0.233,0.008,0.885,0.004,0.709,0.018
4,concat_fusion,davis,0.222,0.004,0.886,0.002,0.723,0.012
5,combined_fc,davis,0.227,0.013,0.886,0.007,0.716,0.023
6,protein_transformer,davis,0.238,0.010,0.883,0.005,0.703,0.016
,MDS,davis,0.213,0.013,0.891,0.007,0.734,0.022
1,compound_1dcnn,kiba,0.200,0.012,0.864,0.005,0.711,0.020
2,protein_1dcnn,kiba,0.157,0.003,0.894,0.001,0.778,0.001
3,both_1dcnn,kiba,0.191,0.003,0.876,0.001,0.727,0.005
4,concat_fusion,kiba,0.157,0.008,0.886,0.006,0.773,0.008
5,combined_fc,kiba,0.158,0.007,0.893,0.010,0.772,0.002
6,protein_transformer,kiba,0.155,0.002,0.895,0.007,0.776,0.020
,MDS,kiba,0.152,0.001,0.898,0.000,0.780,0.002
1,compound_1dcnn,bindingdb,0.576,0.009,0.860,0.010,0.718,0.016
2,protein_1dcnn,bindingdb,0.516,0.004,0.866,0.009,0.748,0.023
3,both_1dcnn,bindingdb,0.583,0.017,0.852,0.001,0.711,0.005
4,concat_fusion,bindingdb,0.509,0.005,0.865,0.006,0.751,0.008
5,combined_fc,bindingdb,0.521,0.007,0.870,0.010,0.745,0.018
6,protein_transformer,bindingdb,0.514,0.008,0.866,0.005,0.749,0.014
,MDS,bindingdb,0.503,0.014,0.871,0.002,0.752,0.004
