rank,y_pred,accession,protein_name,organism,empirical_disposition,empirical_reason,route,qualified,confidence,decision,uniprot_active_sites,hxxxd_count,hxxxd_motifs,triad_count,triads,pingpong_docking_pass,accoa_mode,accoa_score,cys_to_acetyl_c_A,cys_c_o_angle_deg,pap_to_catalytic_site_A,pap_pingpong_score,sequential_strict_pass,pap_n_to_acetyl_c_A,sequential_angle_deg,sequential_score,structure_file,docking_folder,final_status
103,0.996223629,P25649,ADA histone acetyltransferase complex component 2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),exclude_long_protein_or_polypeptide,非催化性ADA组蛋白乙酰转移酶复合物组分；涉及蛋白质乙酰化体系,,False,排除,非催化性ADA组蛋白乙酰转移酶复合物组分；涉及蛋白质乙酰化体系,,0,,0,,False,,,,,,,False,,,,,,排除/未通过
105,0.996201813,Q54IU8,Probable arylamine N-acetyltransferase 2 2.3.1.5,Dictyostelium discoideum,carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,A：天然反应直接相关＋完整三联体＋对接命中,芳胺N-乙酰转移酶；UniProt标注酰基-硫酯中间体，结构中有完整Cys-His-Asp/Glu口袋，AcCoA与对氨基苯酚均命中催化区。,Active site:75-75:Acyl-thioester intermediate || Active site:115-115: || Active site:130-130:,0,[],1,"[{""cys"": ""CYS75:SG"", ""his"": ""HIS115:ND1"", ""cys_his_distance"": 3.247, ""acid"": ""ASP130:OD2"", ""his_acid_distance"": 4.813, ""cys_accessibility"": 0.0542, ""cys_coord"": [-1.055, -6.246, -3.216]}]",True,5,-6.3,3.919,89.29,3.65,-4.7,False,3.529,50.89,-3.1,structure_docking/07_mechanism_screen\structures\rank_0105_Q54IU8_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0105_Q54IU8,最终10个
106,0.996181905,Q7CWE8,Homoserine O-acetyltransferase HAT 2.3.1.31,Agrobacterium fabrum (strain C58 / ATCC 33970),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,B：小分子天然底物＋酰基半胱氨酸＋对接命中,天然受体为小分子；UniProt标注酰基-硫酯中间体，结构中存在Cys-His-Asp/Glu样口袋，AcCoA和对氨基苯酚定点对接均达到宽松反应几何。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,2,"[{""sequence_start"": 97, ""motif"": ""HRKFD""}, {""sequence_start"": 235, ""motif"": ""HVEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.764, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.812, ""cys_accessibility"": 0.0542, ""cys_coord"": [5.96, 3.969, -4.651]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.242, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.985, ""cys_accessibility"": 0.0542, ""cys_coord"": [5.96, 3.969, -4.651]}]",True,9,-6.0,4.2,73.77,3.554,-3.7,False,4.839,41.36,0.4,structure_docking/07_mechanism_screen\structures\rank_0106_Q7CWE8_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0106_Q7CWE8,最终10个
107,0.996176898,P39580,Teichoic acid D-alanyltransferase 2.3.1.-,Bacillus subtilis (strain 168),exclude_long_protein_or_polypeptide,DltC/磷壁酸大分子体系的D-丙氨酰转移，不是游离小分子乙酰受体,,False,排除,DltC/磷壁酸大分子体系的D-丙氨酰转移，不是游离小分子乙酰受体,Transmembrane:7-26:Helical || Transmembrane:31-46:Helical || Transmembrane:51-76:Helical || Transmembrane:80-104:Helical || Transmembrane:121-137:Helical || Transmembrane:180-223:Helical || Transmembrane:225-256:Helical || Transmembrane:309-328:Helical || Transmembrane:334-351:Helical || Transmembrane:365-387:Helical || Active site:328-328:,0,,0,,False,,,,,,,False,,,,,,排除/未通过
108,0.99616605,Q1RKI1,Octanoyltransferase 2.3.1.181,Rickettsia bellii (strain RML369-C),exclude_long_protein_or_polypeptide,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],,False,排除,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],Domain:30-209:BPL/LPL catalytic || Active site:174-174:Acyl-thioester intermediate || Binding site:69-76: || Binding site:143-145: || Binding site:156-158: || Site:140-140:Lowers pKa of active site Cys,0,,0,,False,,,,,,,False,,,,,,排除/未通过
110,0.996145785,O19898,Probable octanoyltransferase 2.3.1.181,Cyanidium caldarium,exclude_long_protein_or_polypeptide,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],,False,排除,原始受体为L-lysyl-[protein]，供体为octanoyl-[ACP],Domain:30-214:BPL/LPL catalytic || Active site:170-170:Acyl-thioester intermediate || Binding site:72-79: || Binding site:139-141: || Binding site:152-154: || Site:136-136:Lowers pKa of active site Cys,0,,0,,False,,,,,,,False,,,,,,排除/未通过
111,0.996123254,Q7YRG5,Arylamine N-acetyltransferase 2 2.3.1.5,Macaca mulatta,carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,A：天然反应直接相关＋完整三联体＋对接命中,芳胺N-乙酰转移酶；UniProt标注酰基-硫酯中间体，结构中有完整Cys-His-Asp/Glu口袋，AcCoA与对氨基苯酚均命中催化区。,Active site:68-68:Acyl-thioester intermediate || Active site:107-107: || Active site:122-122: || Binding site:103-103: || Binding site:104-104: || Binding site:106-107: || Binding site:208-208: || Binding site:214-214: || Binding site:287-287:,0,[],1,"[{""cys"": ""CYS68:SG"", ""his"": ""HIS107:ND1"", ""cys_his_distance"": 3.468, ""acid"": ""ASP122:OD2"", ""his_acid_distance"": 4.718, ""cys_accessibility"": 0.0333, ""cys_coord"": [-3.367, 8.119, -3.412]}]",True,18,-3.6,4.432,92.04,3.913,-4.9,False,4.839,112.65,2.3,structure_docking/07_mechanism_screen\structures\rank_0111_Q7YRG5_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0111_Q7YRG5,最终10个
112,0.996091425,A8GKF8,Homoserine O-succinyltransferase HST 2.3.1.46,Serratia proteamaculans (strain 568),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,B：小分子天然底物＋酰基半胱氨酸＋对接命中,天然受体为小分子；UniProt标注酰基-硫酯中间体，结构中存在Cys-His-Asp/Glu样口袋，AcCoA和对氨基苯酚定点对接均达到宽松反应几何。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,1,"[{""sequence_start"": 235, ""motif"": ""HPEYD""}]",2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.667, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.79, ""cys_accessibility"": 0.05, ""cys_coord"": [5.408, 3.797, -5.312]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.193, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.983, ""cys_accessibility"": 0.05, ""cys_coord"": [5.408, 3.797, -5.312]}]",True,9,-6.3,4.318,133.56,3.591,-4.2,False,4.79,144.11,-3.7,structure_docking/07_mechanism_screen\structures\rank_0112_A8GKF8_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0112_A8GKF8,最终10个
125,0.99608916,A6L1Z3,Homoserine O-acetyltransferase HAT 2.3.1.31,Phocaeicola vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / CCUG 4940 / NBRC 14291 / NCTC 11154),carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,,False,未通过结构/机制门槛,未同时取得可接受的天然底物、催化基序/三联体和反应几何证据；不计入最终候选。,Active site:142-142:Acyl-thioester intermediate || Active site:235-235:Proton acceptor || Active site:237-237: || Binding site:163-163: || Binding site:192-192: || Binding site:249-249: || Site:111-111:Important for acyl-CoA specificity || Site:192-192:Important for substrate specificity,0,[],2,"[{""cys"": ""CYS142:SG"", ""his"": ""HIS235:ND1"", ""cys_his_distance"": 4.676, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 2.771, ""cys_accessibility"": 0.0958, ""cys_coord"": [7.107, 0.915, -2.424]}, {""cys"": ""CYS142:SG"", ""his"": ""HIS235:NE2"", ""cys_his_distance"": 3.169, ""acid"": ""GLU237:OE1"", ""his_acid_distance"": 4.94, ""cys_accessibility"": 0.0958, ""cys_coord"": [7.107, 0.915, -2.424]}]",False,,,,,3.846,-4.4,True,3.824,113.26,1.4,structure_docking/07_mechanism_screen\structures\rank_0125_A6L1Z3_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0125_A6L1Z3,排除/未通过
126,0.996085465,O86309,Arylamine N-acetyltransferase NAT 2.3.1.5,Mycolicibacterium smegmatis,carry_to_structure_screen,已知反应使用小分子底物，或功能尚未明确；继续检查催化基序与口袋,乒乓,True,A-：天然反应直接相关＋完整三联体；AcCoA采样未命中,芳胺N-乙酰转移酶天然反应与目标最接近，且UniProt标注催化半胱氨酸、结构三联体完整；对氨基苯酚可进入催化区，但本轮AcCoA构象未达到几何阈值，按对接假阴性/待复核记录。,Active site:70-70:Acyl-thioester intermediate || Active site:110-110: || Active site:127-127:,1,"[{""sequence_start"": 236, ""motif"": ""HIRFD""}]",1,"[{""cys"": ""CYS70:SG"", ""his"": ""HIS110:ND1"", ""cys_his_distance"": 3.876, ""acid"": ""ASP127:OD2"", ""his_acid_distance"": 4.658, ""cys_accessibility"": 0.0458, ""cys_coord"": [-2.83, 3.932, -5.018]}]",False,,,,,3.441,-4.1,False,7.821,33.45,-3.1,structure_docking/07_mechanism_screen\structures\rank_0126_O86309_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0126_O86309,最终10个
