group,accession,rank_in_10026,score,in_top100
last10,Q7N3D3,74,0.967367,True
last10,A8GKF8,179,0.948729,False
last10,P16691,194,0.943662,False
last10,O35573,226,0.936813,False
last10,O31633,630,0.615985,False
last10,Q0P8U4,7552,-0.015154,False
last10,Q04474,7933,-0.019183,False
last10,Q1RKI1,8075,-0.021255,False
last10,C0H559,8520,-0.032444,False
last10,Q6D8U7,8605,-0.041001,False
top10,Q72X44,6,1.005504,True
top10,Q8P051,13,1.001734,True
top10,P48026,15,1.000583,True
top10,Q66165,20,0.996262,True
top10,P40353,23,0.993801,True
top10,P26825,27,0.988852,True
top10,Q5NHR0,32,0.984608,True
top10,Q9KL03,54,0.973986,True
top10,D2Z028,58,0.97223,True
top10,O31995,62,0.970915,True
