rank,y_pred,accession,protein_name,organism,pair_positive_4aminophenol,metaa,metas,metas_highest_kept,forced_exclusion_reason,transmembrane_count,hxxxd_count,cys_triad_count,ser_triad_count,annotated_acyl_cys_count,structural_evidence,site_type,docking_status,accoa_distance_A,accoa_angle_deg,accoa_score,accoa_geometry_source,pap_to_site_A,pap_score,sequential_distance_A,sequential_angle_deg,sequential_score,confidence,final_status,decision,structure_file,docking_folder,functional_annotation_for_postcheck,gene_primary,gene_synonyms,ordered_locus_names,orf_names,gene_key,is_metA_gene,matches_previous_top10_gene,previous_top10_gene_match,gene_highest_rank,gene_highest_accession,duplicate_gene_lower_rank,new_gene_rule_exclusion,new_gene_rule_reason
103,0.996223629,P25649,ADA histone acetyltransferase complex component 2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),False,False,False,False,,0,1,0,0,0,HXXXD基序,hxxxd,completed,4.623,40.27,-2.6,主搜索,4.974,-2.5,3.797,57.81,-2.7,C,结构可行备选,至少存在局部双配体构象，但催化中心可信度、AcCoA反应端位置或取向弱于最终10个。,structure_docking/09_corrected_screen\structures\rank_0103_P25649_AFDB.pdb,structure_docking/09_corrected_screen\docking\rank_0103_P25649,"FUNCTION | Component of the ADA histone acetyltransferase complex, which preferentially acetylates nucleosomal histones H3 (to form H3K14ac and H3K18ac) and H2B || SUBUNIT | Component of the 0.8 MDa ADA complex, a HAT complex distinct from SAGA, which at least consists of ADA2, NGG1/ADA3, AHC1, AHC2, SGF29 and GCN5 || SUBCELLULAR LOCATION | Cytoplasm Nucleus",AHC2,,YCR082W,YCR82W,ahc2,False,False,,103,P25649,False,False,
105,0.996201813,Q54IU8,Probable arylamine N-acetyltransferase 2 2.3.1.5,Dictyostelium discoideum,True,False,False,False,mds_pAAP.csv中4-aminophenol配对Label=1,,,,,0,,,,,,,,,,,,,排除,强制排除,mds_pAAP.csv中4-aminophenol配对Label=1,,,CATALYTIC ACTIVITY | an arylamine + acetyl-CoA = an N-acetylarylamine + CoA Rhea RHEA:16613 ChEBI CHEBI:13790 ChEBI CHEBI:50471 ChEBI CHEBI:57287 ChEBI CHEBI:57288 2.3.1.5 || SIMILARITY | Belongs to the arylamine N-acetyltransferase family,,,,DDB_G0288507,,False,False,,105,Q54IU8,False,False,
106,0.996181905,Q7CWE8,Homoserine O-acetyltransferase HAT 2.3.1.31,Agrobacterium fabrum (strain C58 / ATCC 33970),False,True,False,False,MetAA全部排除,,,,,0,,,,,,,,,,,,,排除,强制排除,MetAA全部排除,,,"FUNCTION | Transfers an acetyl group from acetyl-CoA to L-homoserine, forming acetyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + acetyl-CoA = O-acetyl-L-homoserine + CoA Rhea RHEA:13701 ChEBI CHEBI:57287 ChEBI CHEBI:57288 ChEBI CHEBI:57476 ChEBI CHEBI:57716 2.3.1.31 ECO:0000255 HAMAP-Rule MF_00295 ECO:0000269 PubMed 23085540 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-acetyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAA,metA,Atu2718,AGR_C_4927,metaa,True,True,metaa,106,Q7CWE8,False,True,前100位实验10个已出现基因:metaa；UniProt基因名/同义名为metA
107,0.996176898,P39580,Teichoic acid D-alanyltransferase 2.3.1.-,Bacillus subtilis (strain 168),False,False,False,False,,10,0,0,0,0,有注释催化/结合位点；多跨膜(10),,structural_exclude_multipass_membrane,,,,,,,,,,排除,明显结构排除,结构含10段跨膜螺旋，缺少适合AcCoA和pAP共同进入的可溶性反应口袋。,structure_docking/09_corrected_screen\structures\rank_0107_P39580_AFDB.pdb,,"FUNCTION | O-acyltransferase that catalyzes D-alanylation of both teichoic acid and lipoteichoic acid (LTA) (PubMed:30283133). D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall (PubMed:7797557). Catalyzes D-alanylation from DltC carrier protein (PubMed:30283133) || PATHWAY | Cell wall biogenesis; lipoteichoic acid biosynthesis || SUBCELLULAR LOCATION | Cell membrane Multi-pass membrane protein || DOMAIN | Consists of a ring of transmembrane domains, which shield a highly conserved extracellular structural funnel extending into the middle of the lipid bilayer. The conserved catalytic His residue is located at the bottom of this funnel and is connected to the intracellular DltC through a narrow tunnel || SIMILARITY | Belongs to the membrane-bound acyltransferase family",dltB,,BSU38510,ipa-4r,dltb,False,False,,107,P39580,False,False,
108,0.99616605,Q1RKI1,Octanoyltransferase 2.3.1.181,Rickettsia bellii (strain RML369-C),False,False,False,False,,0,0,0,0,1,UniProt标注酰基硫酯Cys；有注释催化/结合位点,annotated_acyl_cys,completed,8.399,83.62,-6.2,结合位点中心补采样,3.744,-3.8,5.721,63.37,-2.8,C,结构可行备选,至少存在局部双配体构象，但催化中心可信度、AcCoA反应端位置或取向弱于最终10个。,structure_docking/09_corrected_screen\structures\rank_0108_Q1RKI1_AFDB.pdb,structure_docking/09_corrected_screen\docking\rank_0108_Q1RKI1,FUNCTION | Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate || CATALYTIC ACTIVITY | octanoyl-[ACP] + L-lysyl-[protein] = N(6)-octanoyl-L-lysyl-[protein] + holo-[ACP] + H(+) Rhea RHEA:17665 Rhea RHEA-COMP:9636 Rhea RHEA-COMP:9685 Rhea RHEA-COMP:9752 Rhea RHEA-COMP:9928 ChEBI CHEBI:15378 ChEBI CHEBI:29969 ChEBI CHEBI:64479 ChEBI CHEBI:78463 ChEBI CHEBI:78809 2.3.1.181 ECO:0000255 HAMAP-Rule MF_00013 || PATHWAY | Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 1/2 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the LipB family,lipB,,RBE_0052,,lipb,False,False,,108,Q1RKI1,False,False,
110,0.996145785,O19898,Probable octanoyltransferase 2.3.1.181,Cyanidium caldarium,False,False,False,False,,0,0,0,0,1,UniProt标注酰基硫酯Cys；有注释催化/结合位点,annotated_acyl_cys,completed,3.757,82.12,-5.8,主搜索,4.048,-4.0,5.4,135.33,-3.5,A,最终10个,标注酰基Cys；AcCoA和pAP均直接命中催化区,structure_docking/09_corrected_screen\structures\rank_0110_O19898_AFDB.pdb,structure_docking/09_corrected_screen\docking\rank_0110_O19898,"FUNCTION | Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity) || CATALYTIC ACTIVITY | octanoyl-[ACP] + L-lysyl-[protein] = N(6)-octanoyl-L-lysyl-[protein] + holo-[ACP] + H(+) Rhea RHEA:17665 Rhea RHEA-COMP:9636 Rhea RHEA-COMP:9685 Rhea RHEA-COMP:9752 Rhea RHEA-COMP:9928 ChEBI CHEBI:15378 ChEBI CHEBI:29969 ChEBI CHEBI:64479 ChEBI CHEBI:78463 ChEBI CHEBI:78809 2.3.1.181 || PATHWAY | Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 1/2 || SUBCELLULAR LOCATION | Plastid, chloroplast || SIMILARITY | Belongs to the LipB family",lipB,,,,lipb,False,False,,108,Q1RKI1,True,True,同基因lipB仅保留最高位Rank 108
111,0.996123254,Q7YRG5,Arylamine N-acetyltransferase 2 2.3.1.5,Macaca mulatta,True,False,False,False,mds_pAAP.csv中4-aminophenol配对Label=1,,,,,0,,,,,,,,,,,,,排除,强制排除,mds_pAAP.csv中4-aminophenol配对Label=1,,,"FUNCTION | Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates, and participates in the detoxification of a plethora of hydrazine and arylamine drugs || CATALYTIC ACTIVITY | an arylamine + acetyl-CoA = an N-acetylarylamine + CoA Rhea RHEA:16613 ChEBI CHEBI:13790 ChEBI CHEBI:50471 ChEBI CHEBI:57287 ChEBI CHEBI:57288 2.3.1.5 ECO:0000250 UniProtKB P11245 || CATALYTIC ACTIVITY | an N-hydroxyarylamine + acetyl-CoA = an N-acetoxyarylamine + CoA Rhea RHEA:20277 ChEBI CHEBI:13792 ChEBI CHEBI:21494 ChEBI CHEBI:57287 ChEBI CHEBI:57288 2.3.1.118 ECO:0000250 UniProtKB P11245 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the arylamine N-acetyltransferase family",NAT2,AAC2; NAT,,,nat2,False,False,,111,Q7YRG5,False,False,
112,0.996091425,A8GKF8,Homoserine O-succinyltransferase HST 2.3.1.46,Serratia proteamaculans (strain 568),False,False,True,True,,0,1,2,1,1,UniProt标注酰基硫酯Cys；空间Cys-His-Asp/Glu样口袋；空间Ser-His-Asp/Glu样口袋；HXXXD基序；有注释催化/结合位点,cysteine_site,reused_previous,4.318,133.56,-6.3,主搜索,3.591,-4.2,4.79,144.11,-3.7,A,最终10个,保留的最高分MetAS；完整Cys口袋且旧对接直接命中,structure_docking/09_corrected_screen\structures\rank_0112_A8GKF8_AFDB.pdb,structure_docking/07_mechanism_screen\mechanism_docking\rank_0112_A8GKF8,"FUNCTION | Transfers a succinyl group from succinyl-CoA to L-homoserine, forming succinyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + succinyl-CoA = O-succinyl-L-homoserine + CoA Rhea RHEA:22008 ChEBI CHEBI:57287 ChEBI CHEBI:57292 ChEBI CHEBI:57476 ChEBI CHEBI:57661 2.3.1.46 ECO:0000255 HAMAP-Rule MF_00295 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-succinyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAS,,Spro_4504,,metas,False,False,,112,A8GKF8,False,False,
125,0.99608916,A6L1Z3,Homoserine O-acetyltransferase HAT 2.3.1.31,Phocaeicola vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / CCUG 4940 / NBRC 14291 / NCTC 11154),False,True,False,False,MetAA全部排除,,,,,0,,,,,,,,,,,,,排除,强制排除,MetAA全部排除,,,"FUNCTION | Transfers an acetyl group from acetyl-CoA to L-homoserine, forming acetyl-L-homoserine || CATALYTIC ACTIVITY | L-homoserine + acetyl-CoA = O-acetyl-L-homoserine + CoA Rhea RHEA:13701 ChEBI CHEBI:57287 ChEBI CHEBI:57288 ChEBI CHEBI:57476 ChEBI CHEBI:57716 2.3.1.31 ECO:0000255 HAMAP-Rule MF_00295 || PATHWAY | Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; O-acetyl-L-homoserine from L-homoserine: step 1/1 || SUBCELLULAR LOCATION | Cytoplasm || SIMILARITY | Belongs to the MetA family",metAA,,BVU_2042,,metaa,False,True,metaa,106,Q7CWE8,True,True,前100位实验10个已出现基因:metaa；同基因metAA仅保留最高位Rank 106
126,0.996085465,O86309,Arylamine N-acetyltransferase NAT 2.3.1.5,Mycolicibacterium smegmatis,True,False,False,False,mds_pAAP.csv中4-aminophenol配对Label=1,,,,,0,,,,,,,,,,,,,排除,强制排除,mds_pAAP.csv中4-aminophenol配对Label=1,,,"FUNCTION | Catalyzes the transfer of the acetyl group from acetyl coenzyme A to the free amino group of arylamines and hydrazines. Substrates include isoniazid, anisidine, and 4-aminoveratrole, and to a much lesser extent, p-aminobenzoic acid || CATALYTIC ACTIVITY | an arylamine + acetyl-CoA = an N-acetylarylamine + CoA Rhea RHEA:16613 ChEBI CHEBI:13790 ChEBI CHEBI:50471 ChEBI CHEBI:57287 ChEBI CHEBI:57288 2.3.1.5 ECO:0000269 PubMed 12054803 ECO:0000269 PubMed 9973365 || SUBUNIT | Homodimer and homotetramer || SIMILARITY | Belongs to the arylamine N-acetyltransferase family",nat,,,,nat,False,False,,126,O86309,False,False,
