rank,accession,ligand,status,best_affinity_kcal_mol,mode_count,center_x,center_y,center_z,size_x,size_y,size_z,receptor_pdbqt,config_file,output_pdbqt,log_file,diagnostic
103,P25649,4_aminophenol,reused,-3.6,9,8.943,-1.3490000000000002,-5.82,48.0,44.802,48.0,structure_docking/05_vina\rank_0103_P25649\rank_0103_P25649_receptor.pdbqt,structure_docking/05_vina\rank_0103_P25649\4_aminophenol.config.txt,structure_docking/05_vina\rank_0103_P25649\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0103_P25649\4_aminophenol.vina.log.txt,
103,P25649,acetyl_CoA,reused,-4.6,9,8.943,-1.3490000000000002,-5.82,36.0,36.0,36.0,structure_docking/05_vina\rank_0103_P25649\rank_0103_P25649_receptor.pdbqt,structure_docking/05_vina\rank_0103_P25649\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0103_P25649\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0103_P25649\acetyl_CoA.vina.log.txt,
105,Q54IU8,4_aminophenol,reused,-5.1,9,1.218,-0.5455000000000005,7.902499999999998,48.0,48.0,48.0,structure_docking/05_vina\rank_0105_Q54IU8\rank_0105_Q54IU8_receptor.pdbqt,structure_docking/05_vina\rank_0105_Q54IU8\4_aminophenol.config.txt,structure_docking/05_vina\rank_0105_Q54IU8\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0105_Q54IU8\4_aminophenol.vina.log.txt,
105,Q54IU8,acetyl_CoA,reused,-6.0,9,1.218,-0.5455000000000005,7.902499999999998,36.0,36.0,36.0,structure_docking/05_vina\rank_0105_Q54IU8\rank_0105_Q54IU8_receptor.pdbqt,structure_docking/05_vina\rank_0105_Q54IU8\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0105_Q54IU8\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0105_Q54IU8\acetyl_CoA.vina.log.txt,
106,Q7CWE8,4_aminophenol,reused,-4.8,9,-0.24050000000000082,1.1594999999999995,3.9125000000000014,48.0,48.0,48.0,structure_docking/05_vina\rank_0106_Q7CWE8\rank_0106_Q7CWE8_receptor.pdbqt,structure_docking/05_vina\rank_0106_Q7CWE8\4_aminophenol.config.txt,structure_docking/05_vina\rank_0106_Q7CWE8\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0106_Q7CWE8\4_aminophenol.vina.log.txt,
106,Q7CWE8,acetyl_CoA,reused,-6.5,9,-0.24050000000000082,1.1594999999999995,3.9125000000000014,36.0,36.0,36.0,structure_docking/05_vina\rank_0106_Q7CWE8\rank_0106_Q7CWE8_receptor.pdbqt,structure_docking/05_vina\rank_0106_Q7CWE8\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0106_Q7CWE8\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0106_Q7CWE8\acetyl_CoA.vina.log.txt,
107,P39580,4_aminophenol,reused,-5.1,9,-6.099500000000001,-1.2604999999999968,-3.7590000000000003,48.0,48.0,48.0,structure_docking/05_vina\rank_0107_P39580\rank_0107_P39580_receptor.pdbqt,structure_docking/05_vina\rank_0107_P39580\4_aminophenol.config.txt,structure_docking/05_vina\rank_0107_P39580\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0107_P39580\4_aminophenol.vina.log.txt,
107,P39580,acetyl_CoA,reused,-6.8,9,-6.099500000000001,-1.2604999999999968,-3.7590000000000003,36.0,36.0,36.0,structure_docking/05_vina\rank_0107_P39580\rank_0107_P39580_receptor.pdbqt,structure_docking/05_vina\rank_0107_P39580\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0107_P39580\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0107_P39580\acetyl_CoA.vina.log.txt,
108,Q1RKI1,4_aminophenol,reused,-4.4,9,-0.06099999999999994,4.490500000000001,-0.4714999999999989,48.0,48.0,48.0,structure_docking/05_vina\rank_0108_Q1RKI1\rank_0108_Q1RKI1_receptor.pdbqt,structure_docking/05_vina\rank_0108_Q1RKI1\4_aminophenol.config.txt,structure_docking/05_vina\rank_0108_Q1RKI1\4_aminophenol.out.pdbqt,structure_docking/05_vina\rank_0108_Q1RKI1\4_aminophenol.vina.log.txt,
108,Q1RKI1,acetyl_CoA,reused,-5.3,9,-0.06099999999999994,4.490500000000001,-0.4714999999999989,36.0,36.0,36.0,structure_docking/05_vina\rank_0108_Q1RKI1\rank_0108_Q1RKI1_receptor.pdbqt,structure_docking/05_vina\rank_0108_Q1RKI1\acetyl_CoA.config.txt,structure_docking/05_vina\rank_0108_Q1RKI1\acetyl_CoA.out.pdbqt,structure_docking/05_vina\rank_0108_Q1RKI1\acetyl_CoA.vina.log.txt,
